时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 22:41:31.435,0.3,0.7,0.3,0.7,2197.0,2040.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:41:32.435,0.3,0.7,0.3,0.8,2207.0,2019.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:41:33.435,0.3,0.7,0.3,0.7,2129.0,2046.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:41:34.435,0.4,0.8,0.3,0.8,2284.0,2011.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:41:56.436,0.3,0.7,0.3,0.7,2145.0,2007.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:41:57.437,0.3,0.6,0.3,0.8,2239.0,2033.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:41:58.438,0.3,0.7,0.3,0.8,2053.0,2014.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:41:59.438,0.3,0.7,0.3,0.7,2232.0,2024.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:42:00.437,0.3,0.7,0.3,0.8,2216.0,1974.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:42:01.438,0.3,0.7,0.3,0.7,2164.0,2007.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:42:02.438,0.3,0.6,0.3,0.7,2182.0,2033.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:42:03.438,0.3,0.7,0.3,0.8,2169.0,1996.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 22:42:04.438,0.3,0.6,0.3,0.7,2117.0,1963.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
